datetime,Battery SOC,Battery Amphour,Battery Average Temp,Battery Current
2023-06-27 15:57:25.539875,84.5,178.10000000000002,26,178.02100840336135
2023-06-27 15:57:27.540008,84.5,178.10000000000002,26,177.94369747899162
2023-06-27 15:57:29.539998,84.5,178.10000000000002,26,170.25333333333336
2023-06-27 15:57:31.542323,84.5,178.10000000000002,26,140.1781512605042
2023-06-27 15:57:33.542479,84.5,178.10000000000002,26,178.11764705882354
2023-06-27 15:57:35.540249,84.5,178.10000000000002,26,178.79915966386557
2023-06-27 15:57:37.540258,84.5,178.10000000000002,26,176.46750000000003
2023-06-27 15:57:39.540385,84.5,178.10000000000002,26,178.83666666666667
2023-06-27 15:57:41.540397,84.5,178.10000000000002,26,174.80672268907563
2023-06-27 15:57:43.540441,84.5,178.10000000000002,26,177.5764705882353
2023-06-27 15:57:45.540501,84.5,178.10000000000002,26,175.12833333333336
2023-06-27 15:57:47.542305,84.5,178.10000000000002,26,175.80168067226893
2023-06-27 15:57:49.540632,84.5,178.10000000000002,26,178.37394957983193
2023-06-27 15:57:51.540707,84.5,178.10000000000002,26,180.67142857142858
2023-06-27 15:57:53.540797,84.5,178.10000000000002,26,181.27058823529413
2023-06-27 15:57:55.540885,84.5,178.10000000000002,26,176.28583333333336
2023-06-27 15:57:57.540947,84.5,178.10000000000002,26,177.73445378151263
2023-06-27 15:57:59.543150,84.5,178.10000000000002,26,176.9327731092437
2023-06-27 15:58:01.541019,84.5,178.10000000000002,26,177.09915966386558
2023-06-27 15:58:03.541078,84.5,178.10000000000002,26,176.14083333333335
2023-06-27 15:58:05.541213,84.5,178.10000000000002,26,180.46554621848742
2023-06-27 15:58:07.542739,84.5,178.10000000000002,26,185.00672268907562
2023-06-27 15:58:09.541260,84.5,178.10000000000002,26,190.56974789915967
2023-06-27 15:58:11.541391,84.5,178.10000000000002,26,178.63529411764708
2023-06-27 15:58:13.541386,84.5,178.10000000000002,26,177.35126050420172
2023-06-27 15:58:15.543357,84.5,178.10000000000002,26,193.38151260504202
2023-06-27 15:58:17.541520,84.5,178.10000000000002,26,197.79576271186443
2023-06-27 15:58:19.541583,84.5,178.10000000000002,26,196.48487394957985
2023-06-27 15:58:21.541640,84.5,178.10000000000002,26,196.43666666666667
2023-06-27 15:58:23.543563,84.5,178.10000000000002,26,194.427731092437
2023-06-27 15:58:25.543731,84.5,178.10000000000002,26,195.4823529411765
2023-06-27 15:58:27.543669,84.5,178.10000000000002,26,188.61512605042017
2023-06-27 15:58:29.544068,84.5,178.10000000000002,26,172.85583333333335
2023-06-27 15:58:31.542025,84.5,178.10000000000002,26,174.91176470588235
2023-06-27 15:58:33.544383,84.5,178.10000000000002,26,177.50168067226892
2023-06-27 15:58:35.544003,84.5,178.10000000000002,26,176.14576271186442
2023-06-27 15:58:37.544008,84.5,178.10000000000002,26,178.9325
2023-06-27 15:58:39.544093,84.5,178.0,26,186.42100840336136
2023-06-27 15:58:41.542341,84.5,178.0,26,183.20583333333335
2023-06-27 15:58:43.542341,84.5,178.0,26,180.94453781512607
2023-06-27 15:58:45.542464,84.5,178.0,26,182.46050420168066
2023-06-27 15:58:47.542466,84.5,178.0,26,185.83583333333334
2023-06-27 15:58:49.542522,84.5,178.0,26,178.60084033613447
2023-06-27 15:58:51.544809,84.5,178.0,26,186.56302521008402
2023-06-27 15:58:53.543610,84.5,178.0,26,191.5983193277311
2023-06-27 15:58:55.542715,84.5,178.0,26,192.17000000000002
2023-06-27 15:58:57.542779,84.5,178.0,26,197.9949579831933
2023-06-27 15:58:59.542849,84.5,178.0,26,197.49747899159664
2023-06-27 15:59:01.542972,84.5,178.0,26,191.57899159663867
2023-06-27 15:59:03.543054,84.5,178.0,26,190.04250000000002
2023-06-27 15:59:05.543102,84.5,178.0,26,168.37983193277313
2023-06-27 15:59:07.543172,84.5,178.0,26,181.60420168067228
2023-06-27 15:59:09.543167,84.5,178.0,26,196.82605042016806
2023-06-27 15:59:11.543237,84.5,178.0,26,198.2638655462185
2023-06-27 15:59:13.543371,84.5,178.0,26,180.54333333333335
2023-06-27 15:59:15.543416,84.5,178.0,26,178.51008403361345
2023-06-27 15:59:17.545619,84.5,178.0,26,177.82268907563025
2023-06-27 15:59:19.543473,84.5,178.0,26,173.15546218487395
2023-06-27 15:59:21.543543,84.5,178.0,26,171.44833333333332
2023-06-27 15:59:23.543613,84.5,178.0,26,181.36638655462187
2023-06-27 15:59:25.543665,84.5,178.0,26,181.30084033613446
2023-06-27 15:59:27.543744,84.5,178.0,26,177.76806722689076
2023-06-27 15:59:29.543797,84.5,178.0,26,175.65500000000003
2023-06-27 15:59:31.546149,84.5,178.0,26,177.13781512605044
2023-06-27 15:59:33.543924,84.5,178.0,26,177.90504201680673
2023-06-27 15:59:35.544070,84.5,178.0,26,177.80924369747902
2023-06-27 15:59:37.544050,84.5,178.0,26,177.24873949579833
2023-06-27 15:59:39.544116,84.5,178.0,26,176.49000000000004
2023-06-27 15:59:41.546035,84.5,178.0,26,179.5915254237288
2023-06-27 15:59:43.546460,84.5,178.0,26,177.70000000000002
2023-06-27 15:59:45.546111,84.5,178.0,26,177.97394957983195
2023-06-27 15:59:47.544374,84.5,178.0,26,176.38677685950415
2023-06-27 15:59:49.544438,84.5,178.0,26,175.5672268907563
2023-06-27 15:59:51.544506,84.5,178.0,26,180.02352941176474
2023-06-27 15:59:53.544564,84.5,178.0,26,173.61596638655462
2023-06-27 15:59:55.544696,84.5,178.0,26,181.15714285714287
2023-06-27 15:59:57.544703,84.5,178.0,26,177.89333333333335
2023-06-27 15:59:59.546595,84.5,178.0,26,177.11596638655465
2023-06-27 16:00:01.544895,84.5,178.0,26,177.77142857142857
2023-06-27 16:00:03.544959,84.5,178.0,26,187.52268907563027
2023-06-27 16:00:05.546519,84.5,178.0,26,184.62833333333336
2023-06-27 16:00:07.547118,84.5,178.0,26,177.84621848739496
2023-06-27 16:00:09.547279,84.5,178.0,26,178.5453781512605
2023-06-27 16:00:11.545142,84.5,178.0,26,178.10504201680672
2023-06-27 16:00:13.545285,84.5,178.0,26,179.035
2023-06-27 16:00:15.545341,84.5,178.0,26,177.9529411764706
2023-06-27 16:00:17.545410,84.5,177.9,26,177.86016949152543
2023-06-27 16:00:19.545439,84.5,177.9,26,178.3075630252101
2023-06-27 16:00:21.547944,84.5,177.9,26,175.5495798319328
2023-06-27 16:00:23.547635,84.5,177.9,26,176.53916666666666
2023-06-27 16:00:25.548048,84.5,177.9,26,177.81260504201683
2023-06-27 16:00:27.548188,84.5,177.9,26,177.80588235294118
2023-06-27 16:00:29.548387,84.5,177.9,26,178.17899159663864
2023-06-27 16:00:31.548256,84.5,177.9,26,176.235
