AverageMotorStatorCurrent,AverageMotorPhaseVoltage,MotorActualTorque,TargetTorque,MotorRPM,PropotionalSpeedLimit,CalculatedBatteryCurrent,ControllerCapacitorVoltage,ThrottleInput,Synced,timeStamp
6.0,2.6875,-1.8125,0.0,148.0,116,-0.5,99.8125,1.36328125,0,1685794213229
6.0,1.9375,-1.125,0.0,112.0,84,-0.3125,99.875,1.375,0,1685794213331
0.0,0.375,0.0,0.0,76.0,61,-0.125,99.8125,1.3515625,0,1685794213430
0.0,0.375,0.0,0.0,61.0,43,-0.0625,99.875,1.3515625,0,1685794213528
0.0,1.9375,0.0,0.0,58.0,30,-0.0625,99.875,1.34765625,0,1685794213629
0.0,1.5,0.0,0.0,53.0,20,-0.0625,99.875,1.359375,0,1685794213730
4.0,1.9375,0.0,0.0,44.0,12,-0.0625,99.8125,1.3515625,0,1685794213828
0.0,0.75,0.0,0.0,36.0,7,-0.0625,99.8125,1.36328125,0,1685794213929
0.0,0.75,0.0,0.0,26.0,2,0.0,99.875,1.37109375,0,1685794214028
0.0,1.125,0.0,0.0,16.0,0,0.0,99.8125,1.37109375,0,1685794214130
4.0,0.375,0.0,0.0,7.0,0,0.0,99.8125,1.3359375,0,1685794214228
0.0,1.125,0.1875,0.0,-3.0,0,0.0,99.8125,1.3359375,0,1685794214328
0.0,1.125,-0.25,0.0,2.0,0,-0.0625,99.8125,1.359375,0,1685794214429
0.0,1.125,0.125,0.0,0.0,0,-0.0625,99.8125,1.36328125,0,1685794214531
4.0,0.75,0.0,0.0,0.0,0,-0.0625,99.8125,1.3515625,0,1685794214629
4.0,1.125,0.0,0.0,0.0,0,-0.0625,99.8125,1.37109375,0,1685794214730
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.3515625,0,1685794214830
0.0,0.0,0.0,0.0,0.0,0,0.0,99.8125,1.51953125,0,1685794214930
4.0,1.125,0.0,0.0625,0.0,3,0.0,99.8125,3.1171875,0,1685794215031
60.0,5.4375,14.3125,14.1875,209.0,1117,4.5,99.8125,3.82421875,0,1685794215083
0.0,1.125,0.0,0.25,0.0,26,0.0,99.8125,3.71875,0,1685794215128
59.0,8.5625,14.0625,14.125,281.0,1197,5.25,99.8125,3.76171875,0,1685794215185
0.0,0.75,0.0,14.0,0.0,85,0.0,99.8125,3.80078125,0,1685794215229
54.0,11.25,13.1875,13.0625,396.0,1256,6.6875,99.75,3.6640625,0,1685794215284
8.0,0.75,2.75,13.875,0.0,155,0.0,99.8125,3.82421875,0,1685794215331
55.0,11.25,12.875,13.0,484.0,1307,7.625,99.75,3.6953125,0,1685794215379
49.0,3.0625,13.875,14.0,28.0,402,0.4375,99.8125,3.83203125,0,1685794215430
54.0,11.25,12.6875,12.25,489.0,1287,8.0,99.75,3.4453125,0,1685794215482
59.0,5.0625,14.1875,14.25,148.0,666,2.625,99.8125,3.82421875,0,1685794215531
44.0,10.875,10.8125,10.6875,486.0,1240,7.375,99.8125,3.33984375,0,1685794215583
60.0,5.8125,14.0625,14.0,215.0,860,4.1875,99.8125,3.82421875,0,1685794215633
42.0,11.25,9.875,9.625,501.0,1181,6.75,99.8125,3.1796875,0,1685794215682
58.0,5.4375,14.125,14.125,206.0,1006,4.5,99.8125,3.83203125,0,1685794215731
39.0,12.8125,9.0,9.0625,554.0,1111,6.4375,99.8125,3.1875,0,1685794215780
37.0,14.75,9.0625,9.0,635.0,1057,6.75,99.75,3.1875,0,1685794215880
39.0,14.8125,9.125,9.125,679.0,1018,7.1875,99.8125,3.1796875,0,1685794215983
41.0,14.75,8.9375,8.9375,676.0,987,7.3125,99.75,3.140625,0,1685794216091
36.0,15.1875,8.5625,8.6875,686.0,957,7.1875,99.75,3.12890625,0,1685794216183
36.0,16.75,8.5625,8.1875,730.0,931,7.3125,99.75,2.9609375,0,1685794216281
13.0,14.375,-3.375,7.5625,766.0,810,3.875,99.8125,2.9609375,0,1685794216381
0.0,12.8125,-0.75,7.6875,708.0,788,0.4375,99.8125,2.9609375,0,1685794216480
6.0,13.625,0.6875,7.5,663.0,764,0.5,99.8125,2.95703125,0,1685794216580
6.0,13.625,-0.375,6.8125,658.0,745,0.3125,99.8125,2.84375,0,1685794216680
15.0,13.625,-3.9375,5.75,693.0,720,-0.875,99.875,2.62890625,0,1685794216782
25.0,12.4375,-5.875,3.9375,677.0,671,-2.3125,99.875,2.47265625,0,1685794216879
22.0,10.5,-5.3125,3.8125,604.0,597,-2.6875,99.875,2.53125,0,1685794216980
15.0,8.9375,-3.5,4.0625,526.0,541,-2.375,99.875,2.53125,0,1685794217079
17.0,9.3125,-3.6875,4.25,485.0,502,-1.9375,99.875,2.54296875,0,1685794217181
15.0,8.5625,-3.6875,4.1875,461.0,472,-1.6875,99.875,2.546875,0,1685794217280
8.0,7.375,-2.125,4.3125,415.0,447,-1.375,99.875,2.54296875,0,1685794217382
0.0,6.625,0.1875,4.0625,372.0,427,-0.8125,99.875,2.546875,0,1685794217480
4.0,7.0,1.4375,4.1875,354.0,424,-0.1875,99.875,2.5703125,0,1685794217579
10.0,7.0,2.4375,4.3125,358.0,433,0.375,99.8125,2.5546875,0,1685794217679
6.0,7.0,1.0625,4.3125,376.0,434,0.6875,99.875,2.5546875,0,1685794217780
12.0,6.625,3.25,4.25,349.0,430,0.75,99.8125,2.53515625,0,1685794217881
17.0,5.4375,4.4375,4.625,293.0,431,1.125,99.8125,2.61328125,0,1685794217983
17.0,5.4375,4.5625,4.75,263.0,446,1.3125,99.8125,2.6171875,0,1685794218080
20.0,6.625,4.6875,4.625,281.0,459,1.5,99.75,2.60546875,0,1685794218180
18.0,7.375,4.4375,4.4375,325.0,457,1.75,99.8125,2.5546875,0,1685794218279
